date,index,bnw_bfk_tfp_util,bnw_percap_rsp_end,bnw_percap_c,bnw_expost_ffr_mon,bnw_percap_h
1983.2,114,0.574924683,-11.53841256,-3.80124959,0.043806933,-7.777764806
1983.3,115,0.566638361,-11.56314993,-3.789565692,0.055684236,-7.760753912
1983.4,116,0.565490354,-11.58284639,-3.781764079,0.054938241,-7.747753955
1984.1,117,0.569378095,-11.63656416,-3.781662453,0.042788708,-7.732645388
1984.2,118,0.58280514,-11.68690905,-3.772158046,0.073065345,-7.722473111
1984.3,119,0.592415061,-11.6172558,-3.765242546,0.078367749,-7.720328072
1984.4,120,0.60140557,-11.62203589,-3.757941956,0.049465025,-7.717675932
1985.1,121,0.615551244,-11.55618655,-3.74544149,0.049247044,-7.712214804
1985.2,122,0.6186696,-11.50753061,-3.73913818,0.039078051,-7.709413075
1985.3,123,0.633678973,-11.56861696,-3.729822897,0.054409093,-7.710732005
1985.4,124,0.635236843,-11.43297317,-3.724516728,0.04212796,-7.709924513
1986.1,125,0.642326695,-11.32022943,-3.723512762,0.054058761,-7.714519763
1986.2,126,0.644119574,-11.26933039,-3.719744932,0.088718185,-7.719578285
1986.3,127,0.648511677,-11.35929131,-3.716165994,0.034517114,-7.717049528
1986.4,128,0.64348891,-11.32334255,-3.709093564,0.041242204,-7.712622723
1987.1,129,0.634361392,-11.15275498,-3.703676936,0.013309022,-7.704647687
1987.2,130,0.638694406,-11.12560147,-3.697610251,0.022235782,-7.70133219
1987.3,131,0.633793637,-11.0818403,-3.693853117,0.029970869,-7.697753582
1987.4,132,0.637035022,-11.35790441,-3.68852523,0.030533647,-7.690081051
1988.1,133,0.636026403,-11.32170989,-3.679612898,0.034707286,-7.692137259
1988.2,134,0.639751296,-11.28050867,-3.673473615,0.029476466,-7.680719222
1988.3,135,0.643419094,-11.30090003,-3.664383955,0.033428222,-7.681237354
1988.4,136,0.649085534,-11.29285475,-3.657220952,0.044139481,-7.671939668
1989.1,137,0.649971247,-11.24702947,-3.655053984,0.053314232,-7.665371364
1989.2,138,0.6476187,-11.18979019,-3.654095266,0.031159476,-7.66491331
1989.3,139,0.648488181,-11.10634205,-3.648064819,0.059046358,-7.663645902
1989.4,140,0.644019051,-11.10658095,-3.639766225,0.044041843,-7.666028977
1990.1,141,0.650025465,-11.17047913,-3.644898364,0.014529996,-7.673001507
1990.2,142,0.655614344,-11.13060595,-3.637562516,0.043521444,-7.681073098
1990.3,143,0.656892804,-11.30687833,-3.633793397,0.013499923,-7.691083384
1990.4,144,0.647906188,-11.25041348,-3.641151503,0.005753265,-7.697045853
1991.1,145,0.643057759,-11.13224052,-3.642661604,0.031408403,-7.709822702
1991.2,146,0.65325604,-11.15105458,-3.636620836,0.035325455,-7.717964123
1991.3,147,0.653835553,-11.11707626,-3.636792912,0.024126308,-7.721264844
1991.4,148,0.649661626,-11.05544697,-3.63737573,0.011249994,-7.725790835
1992.1,149,0.66439105,-11.09706518,-3.625472209,0.012785908,-7.733502109
1992.2,150,0.669065579,-11.09601166,-3.621872207,0.006948509,-7.730365595
1992.3,151,0.677104756,-11.08290913,-3.614811695,0.001781602,-7.731597624
1992.4,152,0.68346127,-11.05271526,-3.60673315,-0.005685312,-7.728089179
1993.1,153,0.677595506,-11.02651858,-3.605918735,0.001704199,-7.723511501
1993.2,154,0.676054835,-11.03855473,-3.601840665,0.001612876,-7.714888312
1993.3,155,0.672882152,-11.02732905,-3.59369418,0.012437009,-7.712887696
1993.4,156,0.677745501,-11.02216184,-3.589798679,-0.003420137,-7.707666331
1994.1,157,0.6721152,-11.07489178,-3.582989377,0.0133544,-7.702783027
1994.2,158,0.670092183,-11.08615132,-3.578356277,0.019842185,-7.687287686
1994.3,159,0.664158502,-11.05743044,-3.57343245,0.010416797,-7.678761138
1994.4,160,0.677018644,-11.07344369,-3.570182534,0.031285649,-7.675241175
1995.1,161,0.675884902,-10.99579553,-3.567156831,0.030528332,-7.669667227
1995.2,162,0.678123873,-10.92172569,-3.561294564,0.027432981,-7.670240955
1995.3,163,0.686110466,-10.85905307,-3.557674628,0.03788847,-7.664066053
1995.4,164,0.692460837,-10.81469504,-3.55490255,0.034253725,-7.666373437
1996.1,165,0.697630272,-10.77878194,-3.548118631,0.017690074,-7.669753754
1996.2,166,0.706083771,-10.7516676,-3.542458772,0.018453215,-7.664907868
1996.3,167,0.705021541,-10.73568136,-3.539522548,0.030048072,-7.660844797
1996.4,168,0.70207222,-10.67248877,-3.536097837,0.018296978,-7.652041452
1997.1,169,0.692264539,-10.66133756,-3.533172687,0.029604188,-7.645126222
1997.2,170,0.698720288,-10.50957775,-3.530163601,0.046422814,-7.642145245
1997.3,171,0.704383605,-10.44933251,-3.519890108,0.035449834,-7.639831067
1997.4,172,0.704225075,-10.43335556,-3.513374078,0.033499018,-7.638776071
1998.1,173,0.70925006,-10.31075091,-3.505473984,0.046661068,-7.636008457
1998.2,174,0.711785105,-10.28781946,-3.495806019,0.042452905,-7.633325025
1998.3,175,0.721281178,-10.4044919,-3.487752878,0.034643783,-7.635051958
1998.4,176,0.726352559,-10.22264132,-3.482134078,0.02807223,-7.625032714
1999.1,177,0.731340046,-10.18462329,-3.474962584,0.033504403,-7.630304369
1999.2,178,0.723263471,-10.12980204,-3.466884249,0.01776416,-7.625774746
1999.3,179,0.723220581,-10.20796367,-3.459719089,0.022585057,-7.622345832
1999.4,180,0.732209178,-10.08249569,-3.448439496,0.023602708,-7.621071555
2000.1,181,0.723849886,-10.08650004,-3.453345241,0.019114097,-7.630642859
2000.2,182,0.745194563,-10.12719065,-3.442806524,0.034068141,-7.634205979
2000.3,183,0.742078774,-10.15198528,-3.437391787,0.028811478,-7.637369608
2000.4,184,0.755330314,-10.24647095,-3.431412951,0.03558479,-7.645859068
2001.1,185,0.747168976,-10.38765907,-3.431902047,0.015018981,-7.649887411
2001.2,186,0.760719527,-10.3438433,-3.430493508,0.011751628,-7.663459421
2001.3,187,0.75879232,-10.5121947,-3.430451417,0.019424976,-7.6785782
2001.4,188,0.768871804,-10.41667488,-3.428172282,0.021203567,-7.692246028
2002.1,189,0.782248038,-10.42301598,-3.424866352,0.004550388,-7.702646912
2002.2,190,0.781863953,-10.58106723,-3.423081451,-0.013825911,-7.70380696
2002.3,191,0.789356304,-10.78347288,-3.42279356,-0.003987502,-7.71029443
2002.4,192,0.787495655,-10.71627638,-3.419814492,-0.011177154,-7.711517014
2003.1,193,0.79284921,-10.77027459,-3.421655777,-0.02842855,-7.724615255
2003.2,194,0.801262922,-10.6328207,-3.419412405,0.018749624,-7.732898877
2003.3,195,0.816693152,-10.62180598,-3.413592214,-0.019650704,-7.732916012
2003.4,196,0.814938577,-10.51890639,-3.41220208,-0.0053529,-7.731072816
2004.1,197,0.819245487,-10.51492474,-3.404490318,-0.023707057,-7.728211012
2004.2,198,0.824527174,-10.51261544,-3.403075302,-0.021000177,-7.729717542
2004.3,199,0.830673302,-10.54542398,-3.399134061,-0.009228304,-7.727377263
2004.4,200,0.834690769,-10.47566998,-3.392704818,-0.021121232,-7.726974439
2005.1,201,0.840255816,-10.50965824,-3.387884215,0.006148824,-7.726735343
2005.2,202,0.836970333,-10.51015962,-3.383641012,0.003459219,-7.721326634
2005.3,203,0.840003187,-10.49752697,-3.380350834,-0.023730958,-7.723737861
2005.4,204,0.832612871,-10.49449166,-3.377230311,0.004472065,-7.722207377
2006.1,205,0.834454297,-10.46557627,-3.373518363,0.025124214,-7.715886803
2006.2,206,0.829378708,-10.49669785,-3.369683919,0.014065638,-7.715839329
2006.3,207,0.81956783,-10.45890695,-3.368167775,0.014916273,-7.713892991
2006.4,208,0.824664135,-10.39808456,-3.36272076,0.068840631,-7.713502037
2007.1,209,0.820855283,-10.40999038,-3.3622554,0.014142958,-7.717275696
2007.2,210,0.82320273,-10.36788916,-3.362626041,0.00629107,-7.718956611
2007.3,211,0.823511723,-10.36173599,-3.362504347,0.024791385,-7.725993257
2007.4,212,0.829697846,-10.41591925,-3.363009726,-0.005854519,-7.729918409
2008.1,213,0.823236689,-10.53077322,-3.361831847,-0.017664761,-7.732216608
2008.2,214,0.831522889,-10.57914021,-3.363850335,-0.031855028,-7.7396658
2008.3,215,0.834483283,-10.69061871,-3.373617213,-0.043941013,-7.754325827
2008.4,216,0.838955229,-10.92541761,-3.382641766,0.097171346,-7.781567134
2009.1,217,0.849753706,-11.04373636,-3.3880817,0.026232801,-7.807738139
2009.2,218,0.866813989,-10.90914617,-3.394498257,-0.016995984,-7.832048893
2009.3,219,0.87550968,-10.78130037,-3.396161227,-0.034892121,-7.84727285
2009.4,220,0.87979334,-10.73723389,-3.396229574,-0.025338943,-7.850731725
2010.1,221,0.872428,-10.69392782,-3.392548401,-0.011119568,-7.849889444
2010.2,222,0.85504755,-10.82108582,-3.388865624,0.006835108,-7.843264823
2010.3,223,0.845215183,-10.72529823,-3.386549707,-0.012226389,-7.842820903
2010.4,224,0.843271105,-10.63721235,-3.384020778,-0.024287473,-7.841664214
